Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
562,"562.99237","Escherichia coli 721a5d32-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
287,"287.12770","Pseudomonas aeruginosa strain PAER_7","ciprofloxacin","Resistant",,,,,,,,,"clsi",2017,,,,"Laboratory Method",,"31530672"
573,"573.62734","Klebsiella pneumoniae MGL_134","ciprofloxacin","Resistant","14",,"14","mm","Disk diffusion",,,,,,,,,"Laboratory Method",,"37549252"
624,"624.3306","Shigella sonnei H101020069","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,"31645551"
485,"485.7874","Neisseria gonorrhoeae strain AUSMDU00007076","ciprofloxacin","Resistant","0.030",,"0.030","mg/L","Agar dilution",,,,"clsi",2016,,,,"Laboratory Method",,"29182725"
562,"562.58634","Escherichia coli strain PH20","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"CLSI",2015,,,,"Laboratory Method",,"27965630"
562,"562.97335","Escherichia coli VREC1450","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
470,"470.16246","Acinetobacter baumannii BAL_291","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,"Unipath","CLSI",2011,,,,"Laboratory Method",,"28348846"
485,"485.17795","Neisseria gonorrhoeae LRRBGS_0119","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"EUCAST",,,,,"Laboratory Method",,"33785063"
573,"573.13159","Klebsiella pneumoniae KPN1164ec","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
624,"624.3544","Shigella sonnei AUSMDU00005736","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"CLSI",2017,,,,"Laboratory Method",,"30615105"
562,"562.42810","Escherichia coli strain M50","ciprofloxacin","Resistant","4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,
573,"573.13352","Klebsiella pneumoniae KPN1409ec","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13640","Klebsiella pneumoniae KPN1741ec","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13414","Klebsiella pneumoniae KPN1476ec","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13970","Klebsiella pneumoniae KPN223ec","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
485,"485.17738","Neisseria gonorrhoeae 13-22","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"EUCAST",,,,,"Laboratory Method",,"33785063"
573,"573.13545","Klebsiella pneumoniae KPN1629ec","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
562,"562.42864","Escherichia coli strain MUGSI_313","ciprofloxacin","Resistant","8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
562,"562.100715","Escherichia coli a3600b04-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.23286","Escherichia coli O162:H10 strain ECO0933","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
28901,"28901.24531","Salmonella enterica JLS3","ciprofloxacin","Resistant","1",,"1","mg/L","MIC",,,,"CLSI",2021,,,,"Laboratory Method",,"35651495"
485,"485.13586","Neisseria gonorrhoeae AUSMDU00012291","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
573,"573.12862","Klebsiella pneumoniae 3288","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28776045;28512093"
485,"485.7838","Neisseria gonorrhoeae strain AUSMDU00007046","ciprofloxacin","Resistant","0.008",,"0.008","mg/L","Agar dilution",,,,"clsi",2016,,,,"Laboratory Method",,"29182725"
485,"485.14749","Neisseria gonorrhoeae AUSMDU00012631","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
485,"485.14437","Neisseria gonorrhoeae AUSMDU00013865","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
1280,"1280.51785","Staphylococcus aureus 09-02538","ciprofloxacin","Resistant",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
573,"573.15451","Klebsiella pneumoniae strain 10315_6#34","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"CLSI",2012,,,,"Laboratory Method",,"25712531"
485,"485.15026","Neisseria gonorrhoeae AUSMDU00013631","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
1280,"1280.26093","Staphylococcus aureus ERR124429","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"British Society for Antimicrobial Chemotherapy (BSAC)",2011,,,,"Laboratory Method",,"23158674"
562,"562.23800","Escherichia coli O102:H6 strain ECO0753","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
624,"624.3179","Shigella sonnei Bhutan-Shi-009","ciprofloxacin","Resistant",,,,,"Disk diffusion",,"E-test",,"EUCAST",,,,,"Laboratory Method",,"31645551"
573,"573.15447","Klebsiella pneumoniae strain 10315_6#29","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"CLSI",2012,,,,"Laboratory Method",,"25712531"
470,"470.7891","Acinetobacter baumannii strain MRSN7508","ciprofloxacin","Resistant","2",">","2","mg/L","Broth dilution",,"BD Phoenix","BD","CLSI",,,,,"Laboratory Method",,
562,"562.100761","Escherichia coli 9df1b000-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
59201,"59201.4090","Salmonella enterica subsp. enterica RES21-0038","ciprofloxacin","Resistant",,,,,,,,,"EUCAST",2021,,,,"Laboratory Method",,"36961484"
90370,"90370.5506","Salmonella enterica subsp. enterica serovar Typhi 5158","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"CLSI",2016,,,,"Laboratory Method",,"28931025"
470,"470.6242","Acinetobacter baumannii strain AB_077","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"CLSI",2016,,,,"Laboratory Method",,
1280,"1280.29785","Staphylococcus aureus strain HICF0128","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
1304916,"1304916.4","Klebsiella pneumoniae 140_1040","ciprofloxacin","Resistant",">2",">","2",,,,,,,,,,,"Laboratory Method",,
573,"573.67404","Klebsiella pneumoniae MGL_171","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,"BD","CLSI, EUCAST",2021,,,,"Laboratory Method",,"37549252"
