Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
1280,"1280.7403","Staphylococcus aureus C00003369","ciprofloxacin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
485,"485.14390","Neisseria gonorrhoeae AUSMDU00013015","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
562,"562.98628","Escherichia coli 72c04670-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
562,"562.99311","Escherichia coli 3cf01cc8-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
485,"485.17548","Neisseria gonorrhoeae AUSMDU00015122","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
1192839,"1192839.3","Salmonella enterica subsp. arizonae serovar 18:z4,z23:- strain CVM N38891","ciprofloxacin","Susceptible","<=0.015","<=","0.015","mg/L","Broth dilution",,"CMV2AGNF/CMV3AGNF","Thermo Fisher Scientific","CLSI",2015,,,,"Laboratory Method",,"27381390"
90370,"90370.4895","Salmonella enterica subsp. enterica serovar Typhi 20621_8#19","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"CLSI",,,,,"Laboratory Method",,"29684021"
562,"562.98678","Escherichia coli ded08dda-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
1280,"1280.8619","Staphylococcus aureus C00003260","ciprofloxacin","Susceptible",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
28901,"28901.8472","Salmonella enterica strain CVM N29347","ciprofloxacin","Susceptible","0.015","<=","0.015","mg/L","Broth dilution",,,"Trek Diagnostic Systems","CLSI",,,,,"Laboratory Method",,
562,"562.100113","Escherichia coli ebc7d1ba-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
28901,"28901.23325","Salmonella enterica AUSMDU00009738","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"34907895"
562,"562.99133","Escherichia coli 94416964-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.98701","Escherichia coli 19fb66fa-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
485,"485.18633","Neisseria gonorrhoeae NGPT17513","ciprofloxacin","Susceptible",,,,,,,,,"EUCAST",2019,,,,"Laboratory Method",,"33245688"
28901,"28901.8751","Salmonella enterica strain CVM N38924","ciprofloxacin","Susceptible","0.015","<=","0.015","mg/L","Broth dilution",,,"Trek Diagnostic Systems","CLSI",,,,,"Laboratory Method",,
562,"562.98097","Escherichia coli cddf2324-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,"E-test",,,,,,,"Laboratory Method",,
624,"624.2043","Shigella sonnei strain 195810","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
115981,"115981.15","Salmonella enterica subsp. enterica serovar Montevideo strain CVM N45402","ciprofloxacin","Susceptible","<=0.015","<=","0.015","mg/L","Broth dilution",,"CMV2AGNF/CMV3AGNF","Thermo Fisher Scientific","CLSI",2015,,,,"Laboratory Method",,"27381390"
292,"292.663","Burkholderia cepacia B16","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"CLSI",2016,,,,"Laboratory Method",,"35544262"
562,"562.98729","Escherichia coli a6950702-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,
