genome_id,genome_length,gc_content,cds,rrna,trna,contigs,contig_n50,contig_l50,hypothetical_cds,plasmids,checkm_completeness,checkm_contamination
1667327.134,5272963,58.09749,5096,4.0,76.0,52,524173.0,5.0,617.0,0.0,100.0,0.1
1717.812,2433846,53.651627,2430,3.0,53.0,54,115770.0,8.0,546.0,0.0,99.57,0.0
1280.29683,2685644,32.655594,2510,2.0,16.0,66,116634.0,8.0,493.0,0.0,99.81,0.0
1280.29802,2767341,32.64607,2648,2.0,9.0,62,83571.0,10.0,537.0,0.0,99.81,0.0
1280.39533,2779543,32.779022,2655,4.0,57.0,106,53695.0,17.0,491.0,0.0,99.81,0.19
1280.39643,2821604,32.65756,2722,4.0,56.0,74,116889.0,8.0,546.0,0.0,99.81,0.0
1280.39662,2785629,32.59842,2678,2.0,54.0,98,56312.0,15.0,533.0,0.0,95.79,1.51
1280.39738,2818349,32.805553,2731,4.0,49.0,116,41082.0,21.0,525.0,0.0,99.43,0.0
1280.51770,2684945,32.775757,2524,4.0,57.0,18,635739.0,2.0,476.0,0.0,100.0,0.0
1280.51803,2763822,32.693493,2594,4.0,55.0,28,243840.0,4.0,499.0,0.0,100.0,0.0
1280.8520,2766702,32.69,2634,3.0,40.0,74,72478.0,14.0,565.0,,100.0,0.0
1280.8634,2890774,32.75,2826,2.0,40.0,60,121692.0,10.0,597.0,,100.0,0.0
1280.8772,2746494,32.81,2627,4.0,36.0,29,158544.0,5.0,547.0,,100.0,0.0
1280.9708,2770457,32.7,2638,6.0,19.0,50,87864.0,9.0,562.0,,100.0,0.0
1313.17216,2016062,39.724075,2142,5.0,46.0,37,116027.0,7.0,342.0,,100.0,0.0
197.15926,1708318,30.399843,1802,6.0,40.0,24,181143.0,3.0,237.0,,96.62,2.05
197.15988,1734749,30.3897,1850,3.0,40.0,51,68387.0,9.0,301.0,,94.83,2.62
197.16190,1681101,30.36522,1769,3.0,41.0,51,98533.0,6.0,244.0,,95.32,0.89
1440032.3,1613688,30.55,1751,3.0,40.0,75,152025.0,4.0,257.0,,100.0,2.2
1402546.3,6359317,66.5,5887,11.0,59.0,15,1318254.0,2.0,1134.0,0.0,100.0,0.0
562.96568,4553828,50.701893,4448,3.0,77.0,67,210184.0,8.0,300.0,0.0,99.78,0.0
562.96709,5202128,50.424152,5262,4.0,80.0,113,283621.0,6.0,662.0,0.0,99.78,0.11
562.96799,5138867,50.44684,5104,2.0,76.0,113,287024.0,7.0,580.0,0.0,99.78,0.0
562.96905,5216891,50.765907,5303,2.0,76.0,186,212979.0,8.0,630.0,0.0,99.78,0.11
562.97284,5098710,50.68239,5114,2.0,76.0,146,132822.0,11.0,597.0,0.0,99.78,0.11
562.97319,4697946,50.55484,4592,2.0,75.0,37,569454.0,4.0,389.0,0.0,99.78,0.11
562.98256,5115574,50.48626,5085,4.0,77.0,100,262619.0,7.0,608.0,0.0,99.78,0.0
562.98330,5152369,50.42882,5126,2.0,71.0,121,217760.0,7.0,613.0,0.0,99.78,0.0
562.98805,5128557,50.45922,5091,2.0,76.0,99,253353.0,6.0,619.0,0.0,99.78,0.0
562.99493,5390995,50.35842,5366,2.0,80.0,178,153221.0,11.0,658.0,0.0,99.78,0.0
562.99513,5224047,50.42181,5246,4.0,80.0,194,213893.0,8.0,636.0,0.0,99.78,0.0
562.99718,5122745,50.542862,5006,4.0,83.0,81,405604.0,5.0,510.0,0.0,99.78,0.11
562.99788,4921568,50.405052,4855,2.0,73.0,91,393420.0,5.0,450.0,0.0,99.78,0.11
624.2578,4347177,50.896755,4518,4.0,82.0,392,24858.0,55.0,331.0,0.0,99.78,0.0
624.3245,4437437,50.591026,4666,2.0,39.0,519,22143.0,60.0,381.0,0.0,99.78,0.0
624.3271,4245074,50.913837,4431,2.0,45.0,414,23958.0,55.0,328.0,0.0,99.78,0.0
624.3404,4340010,50.897625,4516,2.0,52.0,415,23483.0,55.0,328.0,0.0,99.78,0.0
624.3810,4584439,50.660397,4887,4.0,74.0,456,22759.0,58.0,563.0,0.0,98.33,0.0
573.13182,5723509,56.92,5699,7.0,68.0,98,214936.0,10.0,1014.0,,100.0,1.0
573.13304,5641414,57.11,5619,4.0,65.0,90,164971.0,13.0,932.0,,100.0,0.0
573.13463,5725565,56.75,5746,4.0,69.0,103,139806.0,13.0,1059.0,,100.0,0.0
573.13894,5549070,57.22,5559,5.0,60.0,108,160401.0,10.0,874.0,,100.0,0.3
573.13938,5461475,57.3,5397,5.0,62.0,83,172724.0,10.0,798.0,,100.0,0.0
573.14063,5325301,57.36,5194,5.0,66.0,64,215993.0,8.0,686.0,,100.0,0.0
573.14173,5427416,57.19,5453,11.0,65.0,130,129663.0,13.0,850.0,,100.0,0.0
573.14261,5447038,57.3,5414,7.0,74.0,96,142862.0,13.0,819.0,,100.0,0.0
573.26248,5427813,57.283115,5357,13.0,86.0,42,386153.0,5.0,727.0,,99.78,0.0
573.29907,5687982,56.97213,5703,11.0,82.0,67,370917.0,5.0,876.0,0.0,99.78,0.22
573.5636,5788593,56.93,5896,10.0,80.0,117,203521.0,10.0,1153.0,,100.0,0.0
573.66985,5408728,57.355686,5344,3.0,74.0,133,123190.0,14.0,699.0,0.0,100.0,0.1
562.145043,4980513,50.894638,5017,3.0,80.0,229,52732.0,26.0,530.0,0.0,100.0,0.0
562.22486,4882983,50.58,4682,10.0,64.0,48,207021.0,7.0,471.0,,100.0,0.0
562.22578,5218516,50.42,5266,4.0,70.0,166,105614.0,19.0,732.0,,100.0,0.0
562.23534,5034522,50.48,4987,4.0,70.0,94,254477.0,7.0,659.0,,100.0,0.0
562.23561,5015024,50.37,4941,4.0,65.0,95,185486.0,9.0,663.0,,100.0,0.0
562.23604,5153650,50.32,5157,4.0,74.0,118,185358.0,9.0,734.0,,100.0,0.4
562.23717,4933035,50.6,4837,8.0,69.0,83,149909.0,10.0,550.0,,100.0,0.0
562.42831,5164437,50.77531,5222,11.0,83.0,105,222847.0,7.0,616.0,,99.67,0.0
562.57099,4592016,50.68978,4571,11.0,79.0,155,292969.0,5.0,336.0,0.0,99.78,1.32
562.57102,4989034,50.649487,5252,11.0,74.0,385,88307.0,19.0,501.0,0.0,99.78,5.17
562.57235,5092099,50.751774,5050,10.0,76.0,73,229861.0,8.0,530.0,0.0,99.78,0.0
562.58730,5102437,50.85431,5036,11.0,82.0,144,96469.0,14.0,507.0,0.0,99.78,0.0
287.12545,6864955,66.01974,6610,3.0,59.0,108,297120.0,8.0,1387.0,0.0,99.16,2.02
287.12723,7006405,66.024315,6793,3.0,60.0,98,371491.0,6.0,1491.0,0.0,98.92,2.25
43770.1043,2755222,59.34429,2644,3.0,53.0,109,93823.0,11.0,841.0,0.0,99.79,0.0
485.12918,2112036,52.47401,2508,3.0,47.0,112,44096.0,16.0,757.0,0.0,99.8,0.0
485.13119,2114381,52.49423,2493,3.0,45.0,112,51446.0,14.0,738.0,0.0,99.8,0.0
485.14349,2046521,52.743755,2431,3.0,45.0,128,43589.0,15.0,706.0,0.0,99.8,0.0
485.14394,2022923,52.57264,2403,3.0,41.0,123,40584.0,16.0,700.0,0.0,98.18,0.0
485.14408,2081971,52.569366,2485,3.0,44.0,120,47140.0,13.0,737.0,0.0,98.38,0.0
485.17453,2102770,52.43864,2493,3.0,41.0,124,36543.0,18.0,744.0,0.0,98.99,0.2
485.17736,2071773,52.652534,2448,3.0,46.0,89,54973.0,12.0,721.0,0.0,99.8,0.0
485.17789,2116695,52.47676,2506,3.0,50.0,102,59592.0,11.0,748.0,0.0,99.8,0.0
485.18485,2066659,52.668633,2465,3.0,49.0,104,59051.0,12.0,714.0,0.0,100.0,0.4
485.18492,2060353,52.661945,2417,3.0,48.0,114,46885.0,13.0,704.0,0.0,100.0,0.0
485.18576,2104975,52.562477,2502,3.0,49.0,135,39994.0,17.0,739.0,0.0,100.0,0.2
485.18887,2132200,52.464592,2532,3.0,49.0,123,40286.0,16.0,761.0,0.0,100.0,0.2
470.6170,3950649,39.06235,3910,7.0,66.0,120,158509.0,8.0,1043.0,,99.81,0.56
470.7342,3945403,38.91756,3844,7.0,64.0,96,163733.0,9.0,944.0,,99.81,0.0
470.7647,3952169,39.045925,3858,3.0,60.0,66,248228.0,6.0,972.0,,99.81,0.0
470.7780,3986923,38.964508,3832,3.0,59.0,74,194554.0,6.0,935.0,,99.81,0.0
470.7919,3914502,39.00215,3829,3.0,58.0,97,160833.0,9.0,974.0,,99.81,0.0
470.16236,3853926,38.8871,3710,3.0,64.0,82,170331.0,9.0,911.0,0.0,99.81,0.0
470.16265,3951764,38.923656,3861,3.0,64.0,108,163823.0,10.0,1019.0,0.0,99.81,0.0
562.100039,4790733,50.820137,4773,4.0,78.0,113,154071.0,11.0,359.0,0.0,99.78,0.0
562.140905,5013660,50.774204,4956,3.0,68.0,101,134503.0,12.0,486.0,0.0,100.0,0.3
28901.8378,4676901,52.155624,4701,8.0,77.0,38,700005.0,3.0,581.0,,100.0,0.0
28901.22216,4982261,52.188736,5095,5.0,76.0,84,121832.0,10.0,566.0,0.0,100.0,5.7
28901.22621,5028868,52.134914,5174,3.0,76.0,76,151936.0,11.0,623.0,0.0,100.0,5.7
28901.24477,5202366,51.882263,5467,8.0,79.0,81,266780.0,6.0,793.0,0.0,100.0,0.0
28901.24760,4664913,52.02498,4771,6.0,73.0,85,88079.0,15.0,655.0,0.0,98.8,0.0
90370.2501,4874717,52.040253,5100,22.0,76.0,2,4782825.0,0.0,622.0,1.0,100.0,0.0
90370.2751,4802997,52.02133,5010,4.0,68.0,61,204169.0,9.0,594.0,0.0,100.0,0.0
90370.2771,4819122,52.0057,5039,4.0,69.0,58,204166.0,9.0,655.0,0.0,100.0,0.0
90370.2848,4712968,52.03046,4918,4.0,68.0,70,144595.0,10.0,569.0,0.0,100.0,0.0
90370.3069,4734384,52.061703,4938,4.0,68.0,67,204171.0,9.0,566.0,0.0,100.0,0.0
90370.3133,4831400,52.026947,5055,4.0,69.0,59,204125.0,9.0,656.0,0.0,100.0,0.0
90371.2940,4822873,52.18238,5836,5.0,70.0,902,9420.0,146.0,829.0,,100.0,14.6
90371.3884,5012997,52.124905,5156,9.0,70.0,95,138137.0,10.0,680.0,0.0,100.0,0.0
903899.3,4063081,39.0,4013,18.0,73.0,20,366410.0,4.0,1109.0,0.0,100.0,3.5
1620419.37,4974462,52.09,5106,7.0,79.0,83,150421.0,10.0,778.0,,100.0,0.0
108619.142,4667093,52.227116,4824,9.0,78.0,35,690912.0,2.0,688.0,,100.0,0.0
2590157.130,5372804,57.52585,5229,4.0,72.0,77,128156.0,14.0,620.0,0.0,100.0,0.2
195.2206,1779720,31.229631,1908,3.0,38.0,64,112197.0,6.0,348.0,,99.66,0.34
195.2258,1755851,31.256468,1864,2.0,38.0,42,130158.0,6.0,304.0,,99.66,0.11
1280.15899,2923851,32.6945,2842,5.0,51.0,69,107185.0,9.0,643.0,,100.0,0.6
